Hotel,Restoran,Area Parkir,Toilet
Ecovillage Silimalombu homestay/farmstay,rumah makan podomoro,Parkiran Mobil Barang,Toilet & Ruang Ganti
SAPADIA VILLA BUKIT GIBEON,Singgalang,Area Parkir,Toilet Umum
Bobocabin Signature Toba,warung mak arjun,,Kamar Mandi Umum
OYO 2045 Hotel 211,Rumah makan Aisyah muslim,,Public Toilet
Toba Beach Hotel,Adian Nalambok,,Public Toilet
Hotel Niagara Parapat,Cafe Aek Natio,,Public Toilet
Darma Agung Beach Hotel,Rumah Makan Khas Batak Serenatama,,Public Toilet
Star Beach Hotel,Lumbanpea,,Public Toilet
Pandu Lakeside Hotel,RM Podomoro,,Toilet
KHAS Parapat Hotel,Aek Natio Cafe & Resto,,Toilet
Hotel 211,RM. MARISA NASIONAL,,Toilet
Melissa Palace Hotel and Karaoke,Bakmi Chinesse Parmigoreng Manurung,,Toilet
Hotel Danau Toba International,Warung Moms Andre,,Toilet
The Parapat View Hotel,WARUNG SATE MAS RIKI,,
Hotel 78 Parapat,rumah makan muslim widya,,
Sapadia Hotel and Cottage Parapat,Rm BPK sinuhaji,,
Samosir Villa Resort,Lapo Pak Bintara,,
Danau Toba International Cottage Parapat,"BAKSO MALANG ""ZHEBRET""",,
Toba View Homestay RedPartner,Warung Nasi Putri Manurung,,
Hotel Pandu Samosir Lakeside,Rumah Makan Boru Parna,,
