Hotel;Rumah Makan;Area Parkir;Toilet
Bukit Senyum;Bukit Senyum;Bukit Senyum;Bukit Senyum
Bukit Senyum Motung;RM.Dosroha A.Sitio;Bukit Senyum Motung;Bukit Senyum Motung
Bukit Senyum (Resto & Cottages);Bukit Senyum Motung;Bukit senyum;Bukit senyum
Rumah Sunset Bukit Senyum Sawarna;WARUNG UMMI FAZILLA HIDANGAN MUSLIM;;
;Warung Sederhana Bukit Senyum No.110;;
;Pondok ikan bakar bukit senyum;;
;Syukur Vegetarian;;
;Rumah Makan Kebun Pondok Punokawan;;
;Warkop agam cabang multatuli;;
;Kafe Keboen;;
;Rumah makan dan penginapan bukit senyum;;
;Restoran Senyum Sokmo;;
;Rekt Bar & Grill;;
;Rumah Makan Bukit Senyum;;
;Rumah Makan Ajo Puncak Kiambang 1;;
;Rumah Makan Cahaya;;
;RM Pak Nurdin;;
;Nagih Kuliner Pekanbaru;;
;Kedai makanan QQ selera kampung ala thai;;
;Cafe Cabuci (Cafe Bukit Cinta);;
