Hotel,Rumah Makan,Area Parkir,Toilet,,
SAPADIA VILLA BUKIT GIBEON,Rumah Makan Sederhana,BUKIT GIBEON & BUAH CAFE,BUKIT GIBEON (YAPIM TARUNA),,
Rumah Retreat Bukit Gibeon,Wisata Bukit Gibeon,Wisata Bukit Gibeon,Wisata Bukit Gibeon,,
Pemandian Bukit Gibeon,BUKIT GIBEON & BUAH CAFE,Bukit Gibeon,Pemandian Bukit Gibeon,,
BUKIT GIBEON (YAPIM TARUNA),"Rumah Makan ""LAPERPOOL""",Kolam Pemandian Gideon,Pos MASUK BUKIT GIBEON,,
Bukit Gibeon,Pemandian Bukit Gibeon,,Bukit Gibeon,,
Hotel 78 Parapat Redpartner,BUKIT GIBEON (YAPIM TARUNA),,BUKIT GIBEON & BUAH CAFE,,
OYO 2045 Hotel 211,Cafen’ta,,Kolam Pemandian Gideon,,
Hotel Sedayu 1 Parapat,Mojo Restoran,,,,
Guest House Star,Bakmi Chinesse Parmigoreng Manurung,,,,
Star Beach Hotel,Bukit Senyum,,,,
Taman Hijau Hotel Resort,Pondok La Toba,,,,
Hotel Sedayu 2,,,,,
Hotel Bagus Inn,,,,,
Bagus Bay Guest House,,,,,
Danau Toba International Cottage Parapat,,,,,
