Hotel,Restoran,Area Parkir,Toilet
Pantai Pasir Putih Lumbin,"Ambarado Cafe, Resto & Hotel",Lumban Binanga,Lumban Binanga Beach Laguboti
Lumban Binanga Beach Laguboti,Lumban Binanga Beach Laguboti,,
Hotel Sere Nauli,BINANGA CAFE,,
HOTRONA HOTEL,WARUNG MAJU BERSAMA,,
"Ambarado Cafe, Resto & Hotel",RM. Fly Over Laguboti,,
Lumban Binanga,Lumban Binanga,,
Hotel Adela,Hatulian Beach,,
Hubers Hotel,,,
Lumban Huala,,,
AQUINO MARITO,,,
Hotel Bahagia,,,
Grand Mareda Hotel,,,
Penginapan boys,,,
"Hotel Balige Beach, Cafe & Resto",,,
Hotel Nabasa,,,
Hatulian Beach,,,
