Hotel,Rumah Makan,Area Parkir,Toilet
Pakkodian Toba�Link yang dikunjungi,Warung Tepi Danau Sibungabunga Pakkodian,Area Parkir Pakkodian Toba,Toilet Pakkodian Toba
Ita Soposurung Hotel,Rumah Makan Sigiring Giring,,
Hotel Dizomn,Pakkodian Toba,,
Villa Sahala Simanjuntak,,,
Wisma/Motel Siahaan,,,
Tiara Bunga Hotel,,,
Hotel Sovonta,,,
Toba Rose Hotel,,,
Labersa Hotel & Convention Centre Toba - Sumut,,,
Penginapan Dion,,,
OYO 91778 Pudan Residence,,,
Mutiara Balige Hotel,,,
GRAND TOBA HOTEL,,,
Hotell,,,
Opung Manahara (A. Simanjuntak / br. Silalahi),,,
KHAS Parapat Hotel,,,
Beach Hotel,,,
Sopo Toba Hotel,,,
Sapadia Hotel and Cottage Parapat,,,
Toba Hotel,,,
,,,
