Hotel,Restoran,Area Parkir,Toilet
Pondok Berata Dapdap,RM SI KUMBANG JAYA,Car Parking Lot,Toilet Silangit Airport
OYO 540 Esther Hotel,RM. Vero Simanjutak,Parkiran Mobil Barang,Toilet & Ruang Ganti
Rose’s Homestay,Warung Dewy,Area Parkir,Kamar Mandi Umum
Tiara Bunga Hotel,Ayam Penyet Bebek Goreng Aneka Minuman & Juice Rm Masmono,Noah Hotel Silangit,Purba /Tumiar
RedDoorz @ Aldos Villa Silangit,RM. MARBUN A. JUNITA,SPBU Pertamina 14.224.327,Public Toilet
AQUINO MARITO,Rumah Makan Khas Batak Angkatan 87,Bandar Udara Internasional Silangit,Toilet
Damar Toba ~ Lakeside Eatery & Stay,Rumah Makan Sahat Martahan Napitupulu,,Toilet
Gading home stay,KEDAI MANADO,,Toilet
Sapadia Villa Balige,Warung Bebek Pak SiRaja Sonang,,
Mutiara Balige Hotel,Warung Mbak Putri,,
Sopo Almonsari,Rumah Makan Bpk Latersia,,
Labersa Hotel & Convention Centre Toba - Sumut,Rumah Makan Sigiring Giring,,
Hotel Ompu Herti,Rumah Makan Jaso Mandeh,,
Kos dan Homestay Mantha,Kedai Bakmi Sakura Boru Si Gomuk,,
The Boat Homestay and Spa,Warung Bakso Mbak IDA,,
Roma anugrah hotel,Warung Mie Gomak Op. Rizal Simanjuntak,,
Noah Hotel Silangit,Kantin audy,,
Wisma/Motel Siahaan,Rumah Makan Manahan,,
Arirang27 Homestay,"Warung ""Tasya""",,
Pudan Residence,RM.AGAM RAYA,,
Nauli Inn,,,
Arirang27 Homestay,,,
Home Stay Bagasan,,,
Hotel Nabasa,,,
Vania Homestay,,,
Hotel Adela,,,
Rap Hotel,,,
OYO 91778 Pudan Residence,,,
Hubers Hotel,,,
Airy Balige Tarutung 77 Silangit,,,
CIKOM HOTEL CAFE & RESTO,,,
OYO 90645 Karisma Residence,,,
ANUGERAH SOAMBATON,,,
Ita Soposurung Hotel,,,
Homestay Ita Pagar Batu,,,
Guesthouse Ulubius Porsea,,,
OYO 1095 Rap Hotel,,,
Purnama lodge hotel,,,
OYO 1819 Aries Hotel,,,
GRAND TOBA HOTEL,,,
