Hotel,Rumah Makan,Area Parkir,Toilet
,Pantai pasir putih dan Cafe Synthia Napitupulu,Pantai Pasir Putih Parparean,Pantai Pasir Putih Parparean
,ELSA CAFE PASIR PUTIH,Pantai Parparean 2,Pantai Parparean 2
,Pantai Pasir Putih Parparean,WISATA ALAM PASIR PUTIH PARPAREAN,WISATA ALAM PASIR PUTIH PARPAREAN
,Winter Days Cafe,,Pantai pasir putih
,WF Coffee&Resto,,
,Pecel Lele 2 Saudara,,
,Parparean Foodcourt,,
,Pusaka gorga taon,,
,Kantin calvin moeslim,,
,WISATA ALAM PASIR PUTIH PARPAREAN,,
,Pantai Parparean 2,,
,Rumah Makan Pasir Putih,,
