Hotel,Restoran,Area Parkir,Toilet
Hotel Adela,Kedai andaliman pariadolok,Parkiran Mobil Barang,Toilet & Ruang Ganti
Hubers Hotel,Rumah Makan Romauli,Area Parkir,Kamar Mandi Umum Silaen
Guesthouse Ulubius Porsea,"Kedai Islam ""Rahayu""",,Kamar Mandi Umum
Hotel Sere Nauli,Warung Nasi Kak Melva,,Public Toilet
Grand Mareda Hotel,Lapo Robema,,Public Toilet
HOTRONA HOTEL,Kantin Gopas,,Public Toilet
Guest House Raja Deang,Rumah Makan Op. Kembar,,Public Toilet
Hotel Santo Djaya,Rumah makan minang maimbau parsoburan,,Public Toilet
OYO 91630 Mabar Homestay Syariah,Kedai kopi pardosi,,Public Toilet
Mabar Homestay & Taxi,R.M /Bakso Rahayu,,Toilet
Rumah 4G,Warung Ryan,,Public Toilet
,Rumah Makan BPK Tambar Lihe,,Toilet
,WARUNG IPE,,Toilet
,Rm. Dosroha( Siahaan/br Sitorus).,,Toilets
,Acai / Cin May,,Toilet
,Lapo Maradu,,Toilet
,Lapo Panggedat,,Toilet
,UMK ASARPA,,Toilet
,Larisma Cafe and Resto,,Toilet
,Rexido Bengkel,,
,Lumban Langge,,
,Korea,,
,Warung Bakmi,,
,Ghaolyo Warung Nasi,,
,"Rumah Makan ""DIVA"" Putri Minang",,
,"Warung Makan ""Malela""",,
,Rumah Makan Islam WANDA,,
,MIE AYAM Lucky,,
,Ngao Ham Pangsit,,
,Kantin siswa panipu,,
,Warung Opung Luki,,
,BPK TAMBAR LIHE CLARISSA GURUSINGA,,
,Ramah Bakso Halal,,
,Lapo Pak Boy,,
,Warung Siagian/Panjaitan,,
,Warung Panjaitan,,
,RUMAH MAKAN HORAS,,
,Warung Mak Boy,,
,Warung Atok,,
,Warung Nasi Dela,,
,Kedai Soto Mak Ondang,,
,Rumah Makan Rizal,,
,Rumah Makan Leni Simanjuntak,,
,warung nasi sintia,,
,Aurora - Restoran Seafood,,
,Saudara Leo,,
,Rumah Makan Muslim Hafizah,,
,Rumah Makan Idola,,
,Pecel Lele Bang Kumis,,
,Bakso Pakde WongSolo,,
,KEDAI BAKMI OSHIN,,
,Rumah Makan Rizal Lumban Gaol,,
,RM. Roganda Simangunsong,,
,Bakmie Pojok,,
,Rap Ma Hita Pature Hutattaon,,
,Warung Santai Asong,,
,Rumah Makan Nasional Arnes,,
,Gabe,,
,Warung Ojo Lali,,
,Lapo & Jagal Ulok,,
,BPK,,
,Kedai Bakmi SABAS,,
,Rumah Makan Muslim jawa kisaran,,
,Rumah makan muslim Adinda 2,,
,RM.Rizal,,
,"Rumah Makan khas Batak ""BPK Reh Ngenana""",,
,Bpk Bandar Baru Bre Tiganna,,
,Kedai Bakmi Tolong Menolong,,
,Roby Minang,,
,Lapo Bakmi Marben,,
,Rumah Makan Martabe,,
,Tobato Snack,,
,Rumah Makan Khas Batak Lyra,,
,Mi Gomak Mak Santo,,
,RM Bpk gambar lihe,,
,Musketeer Cafe,,
,Hayati Catering & Alat -alat Pesta,,
,Warung kuliner,,
,Warung nasi goreng/kode tuak pak sakkap,,
,RM. Khas Batak 303,,
,Warung Sate Pak Sawal,,
,GeoPark Cafe&Resto,,
,Mie Aceh Siborongborong,,
,Kedai Bakmi Siang Malam,,
,RM BPK REH NGENANA,,
,Lapo & Catering Samosir,,
,Dapoer Mak Win,,
,Putri Minang,,
,Bakso Sumber Rezeki,,
,Rumah Makan Minang Jaya,,
,Warung Asiris,,
,Rumah makan muslim PRAMBANAN,,
,Bakso sidik,,
,RM Khas Batak REVA,,
,Burger Riski Food,,
,Kuliner Nusantara Buk Lenny,,
,Kedai Bakmi Sambas Laguboti,,
,Ziliwu Kitchen,,
,"Warung makan ""Bersama""",,
,Mie Pangsit CINTA,,
,Rumah Makan BOIMA 2 (Khas Batak),,
,WRG.MieSop PakEvie,,
,Rumah Makan Raja,,
,Sarapan Pagi Bang Zul,,
,Kedai Kopi TERMINAL LIMA MENIT,,
,Lesehan Niza,,
,Rumah Makan Daima Khas Batak,,
,Catering Mak Grace (Tambul),,
,Rm Islami,,
,MARTABAK GEGANA,,
,Saudara Bakery Balige II (SBB II),,
,bakmie saito,,
,Rumah makan padang Sikumbabg Jaya,,
,Cantik Daijo Cafe,,
,batagor pak julpi,,
,WARUNG MAJU BERSAMA,,
,Bunda Zahra masakan Islam Muslim,,
,"Martabe Baru, Rumah Makan Khas Batak Toba",,
,Warung Muslim Chelsy,,
,Babi Panggang Karo,,
