Nama Tempat,Ulasan,Rating
,Yg ke danau Toba wajib Kesni air terjunnya memacu adrenalin.akses pakai kapal ke lokasi ,5
,"Air terjun terindah di danau toba
Untuk pergi kesini hanya dapat melalui transportasi air seperti speed boat atau kapal kayu  Lainnya",5
,"Tempat wisata alam yang alami belum tersentuh dengan tataan dr pemerintah setempat. Ke lokasi ini membutuhkan sewa kapal tentunya membutuhkan biaya yang besar, perjalanan dr tomok ke tempat ini kira2 1 jam-an. Perjalanan bisa saja di …  Lainnya",4
,Keindahan Binangalom situmurun waterfall yang letaknya tersembunyi dan airnya yang langsung terjun ke danau toba dengan ketinggian 70 meter dan ada 7 tingkatan kata bpk pengantar diboat. …  Lainnya,5
,Air terjun yang lokasinya di danau toba. Harus menggunakan kapal untuk bisa melihat view air terjun tersebut dari dekat ,4
,Harus anda kunjungi bagi pecinta nusantara  Indonesia yg kaya potensi wisata lake toba salah satu air terjun  di area yg bersentuhan langsung dengan danau toba air terjun si tumurun geopark caldera toba. ,5
,"ke sini harus sewa boat, lebih murah kalo patungan dengan teman atau pengunjung lain di sekitaran hotel di Parapat. …  Lainnya",5
,"pemandangan selama perjalanan sangat bagus, untuk spot foto tidak banyak, airnya segar kalau berenang di sekitaran air terjunnya, jika berenang disana tidak disarankan untuk anak"" karena airnya lumayan dalam ",5
,Tempat bagus dan Asik untuk berenang. Tidak disarankan bagi yang tidak bisa berenang. Dan menuju Tempat ini kita harus membayar sekitar 2 huta agar bisa kesini ,5
,Melihat air terjunnya dari dekat sambil makan siang di atas kapal.  Lainnya,4
,Kalau ke Danau Toba jangan lupa harus banget ke obyek wisata yang satu ini. Untuk menuju lokasi Air Terjun Situmurun memang harus dengan kapal / jetski dari P. Samosir karena airnya langsung jatuh ke Danau Toba. …  Lainnya,5
,Pemandangan sangat indah. Kita sewa boat private . ,5
,"Air terjun langsung ke danau Toba.
Keren.
Takjub atas ciptaan Tuhan. ",5
,"Jika anda berkunjung ke Sumatra Utara, wajib singgah nih ke Air Terjun Situmurun. Air terjun ini terbilang unik, karena airnya jatuh langsung ke Danau Toba. Selain disuguhi pemandangan yang indah, juga udara yang super sejuk, Anda juga bisa …  Lainnya",5
,"Perjala6yg sangat mengasyikkan mengarungi Danau Toba menuju Air Terjun Situmurun.
Pantas kamu coba dgn rombongan naik kapal age biaya perjalanan lebih murah dan lebih aman. ",5
,bagus sekali ,5
,"Sebuah air terjun yang sangat luar biasa, airnya langsung tercurah ke danau dengan debit yg besar, tinggi... ",5
,tempatnya agak tersembunyi dan sepi... butuh perjalanan darat dan air... tapi keindahannya sebanding...  sayang ada bangunan2 buatan yang langsung menempel air terjunnya.. merusak lanscape alaminya... …  Lainnya,5
,"Untuk anak2 kurang sih ya, karna gk ada pantai/tempat yang tidak dalam.. tp oke lah, air terjunnya cantik, langsung ke danau gitu.. ",4
